type,properties/age_pnsr_se_nts_dta_rgdn_pc_cvrge_100_jne_2020_ple_rcvng_pns,properties/yng_ple_agd_16_21_rcvng_unmplyt_bnft_jne_2020_to_yrs_yth_alwnce,properties/ple_rcvng_unmplyt_bnft_shrt_trm_jne_2017_pc_nwstr_alwnce_yth,properties/ple_rcvng_unmplyt_bnft_shrt_trm_jne_2017_nwstr_alwnce_yth_ls_6,properties/chldrn_lw_incme_wlfre_dpnt_fmls_se_nts_dta_rgdn_pc_cvrge_100__1,properties/age_pnsr_se_nts_dta_rgdn_pc_cvrge_100_jne_2020_prsn_agd_65_yrs,properties/chldrn_lw_incme_wlfre_dpnt_fmls_se_nts_dta_rgdn_pc_cvrge_100_jn,properties/chldrn_lw_incme_wlfre_dpnt_fmls_se_nts_dta_rgdn_pc_cvrge_100__0,properties/jbskr_unmplymnt_bnfcrs_jne_2020_prsns_agd_22_64_yrs,properties/dsblty_spprt_pnsnrs_jne_2020_pple_rcvng_pnsn,properties/seniors_health_card_holders_june_2020_persons_aged_65_years,properties/people_receiving_unemployment_benefit_june_2020_pc_an,properties/jbskr_unmplymnt_bnfcrs_jne_2020_pc_pple_rcvng_pymnt,properties/pple_rcvng_unmplymnt_bnft_jne_2020_prsns_agd_16_64_yrs,properties/dsblty_spprt_pnsnrs_jne_2020_prsns_agd_16_64_yrs,properties/pple_rcvng_unmplymnt_bnft_lng_trm_jne_2017_prsns_agd_16_64_yrs,properties/disability_support_pensioners_june_2020_pc,properties/health_care_card_holders_june_2020_persons_0_to_64_years,properties/pha_name,properties/yng_pple_agd_16_21_rcvng_unmplymnt_bnft_jne_2020_pc_yth_allwnce,properties/pnsnr_cncssn_crd_hldrs_jne_2020_prsns_agd_15_yrs,properties/seniors_health_card_holders_june_2020_pc,properties/fmle_sle_prnt_pnsnrs_jne_2020_fmls_agd_15_54_yrs,properties/pha_code,properties/people_receiving_unemployment_benefit_june_2020_an,properties/low_income_welfare_dependent_families_children_june_2017_total,properties/jbskr_unmplymnt_bnfcrs_jne_2020_pple_agd_22_64_rcvng_pymnt,properties/pensioner_concession_card_holders_june_2020_pc,properties/pple_rcvng_unmplymnt_bnft_shrt_trm_jne_2017_prsns_agd_16_64_yrs,properties/health_care_card_holders_june_2020_pc_health_care_card_holders,properties/seniors_health_card_holders_june_2020,properties/low_income_welfare_dependent_families_children_june_2017_with,properties/pensioner_concession_card_holders_june_2020,properties/lw_incme_wlfre_dpndnt_fmls_chldrn_jne_2017_pc_wth,properties/age_pnsnrs_se_nts_dta_rgrdng_pc_cvrge_100_jne_2020,properties/ple_rcvng_unmplyt_bnft_lng_trm_jne_2017_pc_nwstr_alwnce_yth,properties/female_sole_parent_pensioners_june_2020_pc,properties/ple_rcvng_unmplyt_bnft_lng_trm_jne_2017_nwstr_alwnce_yth_lngr_6,properties/yng_pple_agd_16_21_rcvng_unmplymnt_bnft_jne_2020_prsns_to_yrs,properties/fmle_sle_prnt_pnsnrs_jne_2020_fmls_rcvng_prntng_pymnt_sngle,properties/health_care_card_holders_june_2020_health_care_card_holders,id
Feature,1606,80,0.302112259130121,49,7.70725706048464,3186.35310871496,402,5215.86339790153,14070.4264481092,353,3186.35310871496,4.95574575024578,5.16686542999339,16284.1283768437,16284.1283768437,16219.1366020985,2.16775495642721,21361.9173662228,Plenty - Yarrambat/ Wattle Glen - Diamond Creek,3.61385600118855,21361.9173662228,13.8402739732086,6551.08558840888,20067,807,6395,727,11.3941083015732,16219.1366020985,7.8644625910612,441,231,2434,3.61219702892885,50.4024489817983,1.72635576645783,0.976937320331122,280,2213.70192873455,64,1680,phidu_income_support_pha_2017_20.570
Feature,1770,224,0.553604680100936,205,13.4904961075255,3943.99641472303,2215,16418.9662288579,38539.864709049,510,3943.99641472303,6.69984366225122,6.87599715257378,42896.5233352073,42896.5233352073,37030.0337711421,1.18890753923038,62179.760479568,Point Cook,5.14155501317135,62179.760479568,7.83469272047246,19726.2540323522,20168,2874,13564,2650,6.22228192929649,37030.0337711421,9.55938066366977,309,1100,3869,8.1097021527573,44.8783369425121,2.03888552915223,2.39275028713456,755,4356.65862615822,472,5944,phidu_income_support_pha_2017_20.571
Feature,2878,98,1.04059732974066,102,24.5779359778039,5972.68245307078,727,2957.93756097561,8971.61971050814,570,5972.68245307078,12.3857016356737,12.6175655737406,9930.80599049243,9930.80599049243,9802.06243902439,5.73971539214146,12929.8635869928,Point Nepean,10.2169935126267,12929.8635869928,12.5069431678213,3742.4129406959,20182,1230,4533,1132,33.8441312281296,9802.06243902439,13.9289945936612,747,415,4376,9.15508493271564,48.1860541325165,4.99894795659729,4.94333476640874,490,959.186279984292,185,1801,phidu_income_support_pha_2017_20.572
Feature,1140,38,0.4771432115723,60,12.4014192726867,2981.8025849473,317,2556.15904139434,12502.510634526,491,2981.8025849473,6.73653141980225,6.79863448908175,13181.8579126596,13181.8579126596,12574.8409586057,3.72481635937264,15975.5283237289,Port Melbourne/ Port Melbourne Industrial,5.59360451173119,15975.5283237289,12.6098220552265,5790.57147235775,20017,888,4247,850,13.1764030418536,12574.8409586057,7.49270994826545,376,187,2105,4.40310807628915,38.2319072951017,2.45728753959734,0.949819897095677,309,679.347278133527,55,1197,phidu_income_support_pha_2017_20.573
Feature,2036,52,1.60445955193075,63,30.02608920657,3099.11290522708,307,1022.44417475728,3841.73059508534,411,3099.11290522708,15.3296027482292,15.5138416202962,4227.11540959437,4227.11540959437,3926.55582524272,9.72294248383058,5279.09544492702,Portarlington,13.4930070003526,5279.09544492702,11.0031486566642,1354.47071026539,20221,648,1999,596,57.8318772950734,3926.55582524272,16.5937518868275,341,178,3053,8.90445222611306,65.6962189588513,7.0290608941728,6.34934364753812,276,385.384814509035,86,876,phidu_income_support_pha_2017_20.574
Feature,2143,105,0.491610646854218,180,13.2219512638857,5379.12903018554,509,3849.65872163118,36514.9397306219,864,5379.12903018554,6.51777580257605,6.62194712037888,38709.524175453,38709.524175453,36614.3412783688,2.23200883607836,42368.70374592,Prahran - Windsor/ South Yarra - East,4.78450488644022,42368.70374592,9.51826954004745,18040.1131221693,20021,2523,8802,2418,9.17894496683651,36614.3412783688,9.32527939418129,512,313,3889,3.55600999772779,39.8391633287533,1.8053035420591,0.570949856591666,661,2194.58444483108,103,3951,phidu_income_support_pha_2017_20.575
Feature,3050,153,0.820288561360002,203,16.6394963238275,4795.68324133847,981,5895.61114656591,24396.739945285,1282,4795.68324133847,9.90256686430634,10.1488969655494,26548.6720365019,26548.6720365019,24747.3888534341,4.82886676304326,32305.7972074407,Preston,7.10988978808727,32305.7972074407,6.5892592170413,11624.7801661201,20061,2629,7897,2476,17.7553272038707,24747.3888534341,12.9729038199829,316,599,5736,7.58515892110928,63.5988626961265,4.52977082406188,1.2559377288313,1121,2151.93209121685,146,4191,phidu_income_support_pha_2017_20.576
Feature,770,67,1.1392578631462,42,30.1320749953158,1013.58684112228,384,1274.38950042337,3162.26983752153,309,1013.58684112228,13.4127889218143,13.439713302047,3668.14092779631,3668.14092779631,3686.61049957663,8.42388572528582,4938.72107241179,Red Cliffs,13.2444809138248,4938.72107241179,6.11689077685259,1443.66137416036,20258,492,1495,425,29.8052872073044,3686.61049957663,14.2142062632661,62,192,1472,12.8428093645485,75.9678370673628,6.34729380895738,5.40292906606059,234,505.871090274775,78,702,phidu_income_support_pha_2017_20.577
Feature,3257,163,0.89811199246431,174,26.2134611463939,4779.69749926066,1269,4841.02420856611,18884.256475167,1264,4779.69749926066,10.4959736131935,10.6543776433338,20722.2319734684,20722.2319734684,19373.9757914339,6.09972903313868,25553.6586924326,Reservoir - East,8.8684533689722,25553.6586924326,5.54428392259115,8737.99225360364,20062,2175,6674,2012,23.6091436948972,19373.9757914339,13.1644553936075,265,727,6033,10.8930176805514,68.1423876825636,5.36802570208553,2.41474235586535,1040,1837.97549830147,211,3364,phidu_income_support_pha_2017_20.578
Feature,3205,117,0.903588537946512,149,20.4614806055906,4536.44038095695,956,4672.19366197183,15400.0206242013,972,4536.44038095695,9.90442795022855,10.1168695680289,16911.6278942829,16911.6278942829,16489.8063380282,5.74752475678934,21671.5370279907,Reservoir - West,7.74010566869568,21671.5370279907,6.81150801181294,7092.42039145044,20063,1675,6293,1558,24.7836597517882,16489.8063380282,12.6156257235876,309,555,5371,8.81932305736533,70.6501073717167,4.48155657411055,2.34052679956908,739,1511.60727008158,166,2734,phidu_income_support_pha_2017_20.579
